rank,category,Youtuber,video views,subscribers,,Category,Total_Views,Total_Subscribers
159,Gaming,AboFlah,4521573939,30500000,,,,
352,People & Blogs,Baim Paula,4526271677,21100000,,,,
653,Comedy,The MriDul,4503880875,15200000,,,,
427,Science & Technology,Unbox Therapy,4508184467,19300000,,,,
638,Howto & Style,ýýýýýýýý ýýýýýýýýýýýýýý ýýýý 5 ýýýýýýýýýý,4499826716,15500000,,,,
326,People & Blogs,Stokes Twins,4469711607,21800000,,,,
322,Film & Animation,Ben Azelart,4454917643,21900000,,,,
969,Comedy,CKM,4465772496,12500000,,,,
172,Comedy,ashish chanchlani vines,4457913639,29800000,,,,
530,Comedy,TheBrianMaps,4448334716,17100000,,,,
206,People & Blogs,Beast Reacts,4388047013,26700000,,,,
567,Comedy,Kaykai Salaider,4434679706,16400000,,,,
895,People & Blogs,ýýýýýýýýýýýýýýý Ms Yeah,4399833602,13100000,,,,
697,Music,melanie martinez,4395184343,14900000,,,,
677,Gaming,MoreAliA,4352427049,15000000,,,,
959,Howto & Style,Troom Troom PT,4384177908,12500000,,,,
353,Entertainment,nigahiga,4380564906,21000000,,,,
857,Gaming,H2ODelirious,4356686216,13400000,,,,
910,Music,7 Minutoz,4349562794,13000000,,,,
160,Entertainment,AH,4332274962,30400000,,,,
428,People & Blogs,shane,4329121104,19200000,,,,
750,Music,Saad Lamjarred | ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,4315486422,14500000,,,,
840,Gaming,Typical Gamer,4301581610,13500000,,,,
933,Comedy,Franco Escamilla,4266957149,12700000,,,,
60,Comedy,whinderssonnunes,4274709210,44200000,,,,
741,Entertainment,Reaction Time,4260187928,14500000,,,,
668,Gaming,Makiman131,4236036141,15100000,,,,
894,Film & Animation,Peppa Pig em Portuguï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,4214172991,13100000,,,,
501,Music,Lil Pump,4196061192,17700000,,,,
880,nan,Vilmei,4205664894,13200000,,,,
866,Entertainment,Vogue,4177184071,13300000,,,,
761,People & Blogs,Indore Physical Academy,4156427797,14400000,,,,
958,nan,Bebefinn - Nursery Rhymes & Kids Songs,4163639093,12500000,,,,
616,People & Blogs,Arif muhammad,4122634467,15800000,,,,
873,Gaming,BanderitaX,4129249415,13300000,,,,
461,Entertainment,PDK Films,4120324310,18400000,,,,
178,Comedy,AuronPlay,4079141673,29200000,,,,
585,Gaming,JJ Olatunji,4076692623,16200000,,,,
267,Entertainment,James Charles,4067878931,23900000,,,,
460,People & Blogs,Willie Salim,4051072188,18500000,,,,
772,Film & Animation,Invento na Hora,4040297006,14200000,,,,
719,Education,StudyIQ IAS,4029253667,14700000,,,,
118,Entertainment,Jess No Limit,3963007415,34000000,,,,
